date,weekday,daypart_durations,cluster_sizes,avg_timewindow,stddev_timewindow,range_timewindow,calc_threshold_from,calc_threshold_to,avg_threshold_factors,stddev_threshold_factors,range_threshold_factors
2014-02-01,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-02,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-03,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-04,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-05,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-06,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-07,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-08,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-09,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-10,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-11,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-12,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-13,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-14,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-15,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-16,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-17,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-18,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-19,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-20,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-21,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-22,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-23,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-24,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-25,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-26,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-27,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-02-28,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-01,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-02,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-03,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-04,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-05,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-06,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-07,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-08,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-09,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-10,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-11,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-12,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-13,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-14,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-15,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-16,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-17,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-18,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-19,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-20,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-21,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-22,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-23,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-24,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-25,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-26,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-27,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-28,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-29,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-30,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-03-31,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-01,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-02,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-03,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-04,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-05,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-06,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-07,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-08,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-09,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-10,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-11,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-12,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-13,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-14,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-15,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-16,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-17,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-18,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-19,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-20,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-21,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-22,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-23,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-24,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-25,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-26,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-27,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-28,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-29,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-30,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-01,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-02,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-03,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-04,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-05,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-06,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-07,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-08,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-09,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-10,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-11,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-12,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-13,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-14,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-15,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-16,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-17,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-18,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-19,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-30,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-31,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-01,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-02,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-03,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-04,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-05,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-06,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-07,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-08,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-09,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-10,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-11,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-12,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-27,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-28,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-29,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-30,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-01,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-02,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-03,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-04,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-05,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-06,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-07,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-08,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
