Date,GapStart,GapEnd,CompareStart,CompareEnd
2014-07-15,2014-07-15 00:00,2014-07-15 15:47,2014-07-15 16:30,2014-07-15 23:30
2014-07-27,2014-07-27 09:56,2014-07-27 23:59,2014-07-27 00:00,2014-07-27 09:30
2014-08-08,2014-08-08 19:53,2014-08-08 23:59,2014-08-08 05:00,2014-08-08 19:30
2014-10-23,2014-10-23 00:00,2014-10-23 13:32,2014-10-23 14:00,2014-10-23 23:30
