date,weekday,daypart_durations,cluster_sizes,avg_timewindow,stddev_timewindow,range_timewindow,calc_threshold_from,calc_threshold_to,avg_threshold_factors,stddev_threshold_factors,range_threshold_factors
2014-04-20,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-21,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-22,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-23,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-24,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-25,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-26,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-27,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-28,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-29,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-04-30,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-01,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-02,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-03,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-04,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-05,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-06,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-07,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-08,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-09,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-10,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-11,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-12,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-13,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-14,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-15,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-16,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-17,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-18,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-19,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-20,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-21,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-22,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-23,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-24,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-25,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-26,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-27,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-28,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-29,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-30,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-05-31,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-01,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-02,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-03,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-04,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-05,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-06,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-07,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-08,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-09,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-10,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-11,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-12,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-13,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-14,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-15,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-16,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-17,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-18,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-19,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-20,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-21,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-22,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-23,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-24,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-25,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-26,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-27,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-28,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-29,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-06-30,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-01,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-02,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-03,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-04,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-05,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-06,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-07,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-08,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-09,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-10,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-11,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-12,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-13,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-14,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-15,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-16,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-17,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-18,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-19,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-20,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-21,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-22,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-23,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-24,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-25,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-26,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-27,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-28,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-29,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-30,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-07-31,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-01,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-02,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-03,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-04,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-05,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-06,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-07,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-08,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-09,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-10,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-11,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-12,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-13,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-14,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-15,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-16,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-17,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-18,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-19,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-20,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-21,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-22,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-23,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-24,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-25,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-26,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-27,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-28,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-29,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-30,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-08-31,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-01,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-02,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-03,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-04,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-05,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-06,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-07,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-08,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-09,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-10,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-11,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-12,4,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-13,5,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-14,6,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-15,0,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-16,1,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-17,2,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
2014-09-18,3,450;90;450;330;120,10;10;10;10;10,15,15,15,01:00,05:30,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1
