Date,GapStart,GapEnd,CompareStart,CompareEnd
2014-05-28,2014-05-28 00:00,2014-05-28 07:00,2014-05-28 07:30,2014-05-28 23:00
2014-08-07,2014-08-07 00:00,2014-08-07 09:51,2014-08-07 11:00,2014-08-07 23:00
2014-09-20,2014-09-20 13:07,2014-09-20 23:48,2014-09-20 04:00,2014-09-20 13:00
2014-10-30,2014-10-30 08:19,2014-10-30 22:34,2014-09-20 00:00,2014-09-20 08:15
