Id,Dataset,Algo,FeaturesLabels,TimeSteps,ForecastSteps,StacksAndUnits,UseRegularization,UseDropout,Splits,Epochs,Done
2580,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,96,100,False,False,3,70,False
2581,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,96,100,False,True,3,70,False
2582,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,96,100,True,False,3,70,False
2583,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,96,100,True,True,3,70,False
2584,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,288,25,False,False,3,70,False
2585,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,288,25,False,True,3,70,False
2586,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,288,25,True,False,3,70,False
2587,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,288,25,True,True,3,70,False
2588,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,288,100,False,False,3,70,False
2589,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,288,100,False,True,3,70,False
2590,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,288,100,True,False,3,70,False
2591,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,288,288,100,True,True,3,70,False
2592,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,30,25,False,False,3,70,False
2593,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,30,25,False,True,3,70,False
2594,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,30,25,True,False,3,70,False
2595,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,30,25,True,True,3,70,False
2596,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,30,100,False,False,3,70,False
2597,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,30,100,False,True,3,70,False
2598,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,30,100,True,False,3,70,False
2599,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,30,100,True,True,3,70,False
2600,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,96,25,False,False,3,70,False
2601,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,96,25,False,True,3,70,False
2602,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,96,25,True,False,3,70,False
2603,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,96,25,True,True,3,70,False
2604,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,96,100,False,False,3,70,False
2605,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,96,100,False,True,3,70,False
2606,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,96,100,True,False,3,70,False
2607,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,96,100,True,True,3,70,False
2608,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,288,25,False,False,3,70,False
2609,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,288,25,False,True,3,70,False
2610,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,288,25,True,False,3,70,False
2611,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,288,25,True,True,3,70,False
2612,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,288,100,False,False,3,70,False
2613,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,288,100,False,True,3,70,False
2614,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,288,100,True,False,3,70,False
2615,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,30,288,100,True,True,3,70,False
2616,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,30,25,False,False,3,70,False
2617,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,30,25,False,True,3,70,False
2618,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,30,25,True,False,3,70,False
2619,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,30,25,True,True,3,70,False
2620,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,30,100,False,False,3,70,False
2621,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,30,100,False,True,3,70,False
2622,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,30,100,True,False,3,70,False
2623,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,30,100,True,True,3,70,False
2624,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,96,25,False,False,3,70,False
2625,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,96,25,False,True,3,70,False
2626,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,96,25,True,False,3,70,False
2627,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,96,25,True,True,3,70,False
2628,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,96,100,False,False,3,70,False
2629,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,96,100,False,True,3,70,False
2630,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,96,100,True,False,3,70,False
2631,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,96,100,True,True,3,70,False
2632,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,288,25,False,False,3,70,False
2633,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,288,25,False,True,3,70,False
2634,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,288,25,True,False,3,70,False
2635,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,288,25,True,True,3,70,False
2636,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,288,100,False,False,3,70,False
2637,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,288,100,False,True,3,70,False
2638,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,288,100,True,False,3,70,False
2639,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,96,288,100,True,True,3,70,False
2640,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,30,25,False,False,3,70,False
2641,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,30,25,False,True,3,70,False
2642,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,30,25,True,False,3,70,False
2643,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,30,25,True,True,3,70,False
2644,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,30,100,False,False,3,70,False
2645,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,30,100,False,True,3,70,False
2646,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,30,100,True,False,3,70,False
2647,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,30,100,True,True,3,70,False
2648,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,96,25,False,False,3,70,False
2649,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,96,25,False,True,3,70,False
2650,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,96,25,True,False,3,70,False
2651,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,96,25,True,True,3,70,False
2652,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,96,100,False,False,3,70,False
2653,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,96,100,False,True,3,70,False
2654,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,96,100,True,False,3,70,False
2655,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,96,100,True,True,3,70,False
2656,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,288,25,False,False,3,70,False
2657,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,288,25,False,True,3,70,False
2658,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,288,25,True,False,3,70,False
2659,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,288,25,True,True,3,70,False
2660,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,288,100,False,False,3,70,False
2661,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,288,100,False,True,3,70,False
2662,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,288,100,True,False,3,70,False
2663,building0;building1;building2;building3;building4;building5,std,Weekday;Season;Total;OCCUPIED,288,288,100,True,True,3,70,False
2664,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,30,25,False,False,3,70,False
2665,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,30,25,False,True,3,70,False
2666,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,30,25,True,False,3,70,False
2667,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,30,25,True,True,3,70,False
2668,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,30,100,False,False,3,70,False
2669,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,30,100,False,True,3,70,False
2670,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,30,100,True,False,3,70,False
2671,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,30,100,True,True,3,70,False
2672,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,96,25,False,False,3,70,False
2673,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,96,25,False,True,3,70,False
2674,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,96,25,True,False,3,70,False
2675,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,96,25,True,True,3,70,False
2676,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,96,100,False,False,3,70,False
2677,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,96,100,False,True,3,70,False
2678,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,96,100,True,False,3,70,False
2679,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,96,100,True,True,3,70,False
2680,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,288,25,False,False,3,70,False
2681,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,288,25,False,True,3,70,False
2682,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,288,25,True,False,3,70,False
2683,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,288,25,True,True,3,70,False
2684,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,288,100,False,False,3,70,False
2685,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,288,100,False,True,3,70,False
2686,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,288,100,True,False,3,70,False
2687,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,288,100,True,True,3,70,False
2688,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,30,25,False,False,3,70,False
