Id,Dataset,Algo,FeaturesLabels,TimeSteps,ForecastSteps,StacksAndUnits,UseRegularization,UseDropout,Splits,Epochs,Done
2752,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,288,25,False,False,3,70,False
2753,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,288,25,False,True,3,70,False
2754,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,288,25,True,False,3,70,False
2755,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,288,25,True,True,3,70,False
2756,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,288,100,False,False,3,70,False
2757,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,288,100,False,True,3,70,False
2758,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,288,100,True,False,3,70,False
2759,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,288,100,True,True,3,70,False
2760,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,30,25,False,False,3,70,False
2761,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,30,25,False,True,3,70,False
2762,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,30,25,True,False,3,70,False
2763,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,30,25,True,True,3,70,False
2764,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,30,100,False,False,3,70,False
2765,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,30,100,False,True,3,70,False
2766,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,30,100,True,False,3,70,False
2767,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,30,100,True,True,3,70,False
