Id,Dataset,Algo,FeaturesLabels,TimeSteps,ForecastSteps,StacksAndUnits,UseRegularization,UseDropout,Splits,Epochs,Done
401,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,288,25,False,True,3,70,False
402,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,288,25,True,False,3,70,False
403,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,288,25,True,True,3,70,False
404,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,288,100,False,False,3,70,False
405,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,288,100,False,True,3,70,False
406,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,288,100,True,False,3,70,False
407,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,288,100,True,True,3,70,False
408,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,30,25,False,False,3,70,False
409,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,30,25,False,True,3,70,False
410,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,30,25,True,False,3,70,False
411,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,30,25,True,True,3,70,False
412,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,30,100,False,False,3,70,False
413,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,30,100,False,True,3,70,False
414,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,30,100,True,False,3,70,False
415,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,30,100,True,True,3,70,False
416,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,96,25,False,False,3,70,False
417,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,96,25,False,True,3,70,False
418,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,96,25,True,False,3,70,False
419,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,96,25,True,True,3,70,False
420,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,96,100,False,False,3,70,False
421,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,96,100,False,True,3,70,False
422,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,96,100,True,False,3,70,False
423,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,96,100,True,True,3,70,False
424,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,288,25,False,False,3,70,False
425,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,288,25,False,True,3,70,False
426,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,288,25,True,False,3,70,False
427,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,288,25,True,True,3,70,False
428,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,288,100,False,False,3,70,False
429,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,288,100,False,True,3,70,False
430,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,288,100,True,False,3,70,False
431,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,288,288,100,True,True,3,70,False
432,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,25,False,False,3,70,False
433,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,25,False,True,3,70,False
434,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,25,True,False,3,70,False
435,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,25,True,True,3,70,False
436,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,100,False,False,3,70,False
437,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,100,False,True,3,70,False
438,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,100,True,False,3,70,False
439,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,100,True,True,3,70,False
440,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,25,False,False,3,70,False
441,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,25,False,True,3,70,False
442,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,25,True,False,3,70,False
443,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,25,True,True,3,70,False
444,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,100,False,False,3,70,False
445,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,100,False,True,3,70,False
446,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,100,True,False,3,70,False
447,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,100,True,True,3,70,False
448,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,288,25,False,False,3,70,False
449,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,288,25,False,True,3,70,False
450,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,288,25,True,False,3,70,False
451,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,288,25,True,True,3,70,False
452,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,288,100,False,False,3,70,False
453,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,288,100,False,True,3,70,False
454,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,288,100,True,False,3,70,False
455,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,288,100,True,True,3,70,False
456,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,30,25,False,False,3,70,False
457,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,30,25,False,True,3,70,False
458,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,30,25,True,False,3,70,False
459,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,30,25,True,True,3,70,False
460,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,30,100,False,False,3,70,False
461,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,30,100,False,True,3,70,False
462,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,30,100,True,False,3,70,False
463,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,30,100,True,True,3,70,False
464,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,96,25,False,False,3,70,False
465,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,96,25,False,True,3,70,False
466,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,96,25,True,False,3,70,False
467,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,96,25,True,True,3,70,False
468,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,96,100,False,False,3,70,False
469,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,96,100,False,True,3,70,False
