Id,Dataset,Algo,FeaturesLabels,TimeSteps,ForecastSteps,StacksAndUnits,UseRegularization,UseDropout,Splits,Epochs,Done
1204,building1,ext,Total;OCCUPIED,288,30,100,False,False,3,70,False
1205,building1,ext,Total;OCCUPIED,288,30,100,False,True,3,70,False
1206,building1,ext,Total;OCCUPIED,288,30,100,True,False,3,70,False
1207,building1,ext,Total;OCCUPIED,288,30,100,True,True,3,70,False
1208,building1,ext,Total;OCCUPIED,288,96,25,False,False,3,70,False
1209,building1,ext,Total;OCCUPIED,288,96,25,False,True,3,70,False
1210,building1,ext,Total;OCCUPIED,288,96,25,True,False,3,70,False
1211,building1,ext,Total;OCCUPIED,288,96,25,True,True,3,70,False
1212,building1,ext,Total;OCCUPIED,288,96,100,False,False,3,70,False
1213,building1,ext,Total;OCCUPIED,288,96,100,False,True,3,70,False
1214,building1,ext,Total;OCCUPIED,288,96,100,True,False,3,70,False
1215,building1,ext,Total;OCCUPIED,288,96,100,True,True,3,70,False
1216,building1,ext,Total;OCCUPIED,288,288,25,False,False,3,70,False
1217,building1,ext,Total;OCCUPIED,288,288,25,False,True,3,70,False
1218,building1,ext,Total;OCCUPIED,288,288,25,True,False,3,70,False
1219,building1,ext,Total;OCCUPIED,288,288,25,True,True,3,70,False
1220,building1,ext,Total;OCCUPIED,288,288,100,False,False,3,70,False
1221,building1,ext,Total;OCCUPIED,288,288,100,False,True,3,70,False
1222,building1,ext,Total;OCCUPIED,288,288,100,True,False,3,70,False
1223,building1,ext,Total;OCCUPIED,288,288,100,True,True,3,70,False
1224,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,30,25,False,False,3,70,False
1225,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,30,25,False,True,3,70,False
1226,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,30,25,True,False,3,70,False
1227,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,30,25,True,True,3,70,False
1228,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,30,100,False,False,3,70,False
1229,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,30,100,False,True,3,70,False
1230,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,30,100,True,False,3,70,False
1231,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,30,100,True,True,3,70,False
1232,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,96,25,False,False,3,70,False
1233,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,96,25,False,True,3,70,False
1234,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,96,25,True,False,3,70,False
1235,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,96,25,True,True,3,70,False
1236,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,96,100,False,False,3,70,False
1237,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,96,100,False,True,3,70,False
1238,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,96,100,True,False,3,70,False
1239,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,96,100,True,True,3,70,False
1240,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,288,25,False,False,3,70,False
1241,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,288,25,False,True,3,70,False
1242,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,288,25,True,False,3,70,False
1243,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,288,25,True,True,3,70,False
1244,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,288,100,False,False,3,70,False
1245,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,288,100,False,True,3,70,False
1246,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,288,100,True,False,3,70,False
1247,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,288,100,True,True,3,70,False
1248,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,30,25,False,False,3,70,False
1249,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,30,25,False,True,3,70,False
1250,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,30,25,True,False,3,70,False
1251,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,30,25,True,True,3,70,False
1252,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,30,100,False,False,3,70,False
1253,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,30,100,False,True,3,70,False
1254,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,30,100,True,False,3,70,False
1255,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,30,100,True,True,3,70,False
1256,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,96,25,False,False,3,70,False
1257,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,96,25,False,True,3,70,False
1258,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,96,25,True,False,3,70,False
1259,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,96,25,True,True,3,70,False
1260,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,96,100,False,False,3,70,False
1261,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,96,100,False,True,3,70,False
1262,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,96,100,True,False,3,70,False
1263,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,96,100,True,True,3,70,False
1264,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,288,25,False,False,3,70,False
1265,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,288,25,False,True,3,70,False
1266,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,288,25,True,False,3,70,False
1267,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,288,25,True,True,3,70,False
1268,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,288,100,False,False,3,70,False
1269,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,288,100,False,True,3,70,False
1270,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,288,100,True,False,3,70,False
1271,building1,ext,MinuteTimeStamp;Total;OCCUPIED,96,288,100,True,True,3,70,False
1272,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,30,25,False,False,3,70,False
1273,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,30,25,False,True,3,70,False
1274,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,30,25,True,False,3,70,False
1275,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,30,25,True,True,3,70,False
1276,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,30,100,False,False,3,70,False
1277,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,30,100,False,True,3,70,False
1278,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,30,100,True,False,3,70,False
1279,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,30,100,True,True,3,70,False
1280,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,96,25,False,False,3,70,False
1281,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,96,25,False,True,3,70,False
1282,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,96,25,True,False,3,70,False
1283,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,96,25,True,True,3,70,False
1284,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,96,100,False,False,3,70,False
1285,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,96,100,False,True,3,70,False
1286,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,96,100,True,False,3,70,False
1287,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,96,100,True,True,3,70,False
1288,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,288,25,False,False,3,70,False
1289,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,288,25,False,True,3,70,False
1290,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,288,25,True,False,3,70,False
1291,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,288,25,True,True,3,70,False
1292,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,288,100,False,False,3,70,False
1293,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,288,100,False,True,3,70,False
1294,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,288,100,True,False,3,70,False
1295,building1,ext,MinuteTimeStamp;Total;OCCUPIED,288,288,100,True,True,3,70,False
1296,building1,ext,Weekday;Total;OCCUPIED,30,30,25,False,False,3,70,False
1297,building1,ext,Weekday;Total;OCCUPIED,30,30,25,False,True,3,70,False
1298,building1,ext,Weekday;Total;OCCUPIED,30,30,25,True,False,3,70,False
1299,building1,ext,Weekday;Total;OCCUPIED,30,30,25,True,True,3,70,False
1300,building1,ext,Weekday;Total;OCCUPIED,30,30,100,False,False,3,70,False
1301,building1,ext,Weekday;Total;OCCUPIED,30,30,100,False,True,3,70,False
1302,building1,ext,Weekday;Total;OCCUPIED,30,30,100,True,False,3,70,False
1303,building1,ext,Weekday;Total;OCCUPIED,30,30,100,True,True,3,70,False
1304,building1,ext,Weekday;Total;OCCUPIED,30,96,25,False,False,3,70,False
1305,building1,ext,Weekday;Total;OCCUPIED,30,96,25,False,True,3,70,False
1306,building1,ext,Weekday;Total;OCCUPIED,30,96,25,True,False,3,70,False
1307,building1,ext,Weekday;Total;OCCUPIED,30,96,25,True,True,3,70,False
1308,building1,ext,Weekday;Total;OCCUPIED,30,96,100,False,False,3,70,False
1309,building1,ext,Weekday;Total;OCCUPIED,30,96,100,False,True,3,70,False
1310,building1,ext,Weekday;Total;OCCUPIED,30,96,100,True,False,3,70,False
1311,building1,ext,Weekday;Total;OCCUPIED,30,96,100,True,True,3,70,False
1312,building1,ext,Weekday;Total;OCCUPIED,30,288,25,False,False,3,70,False
1313,building1,ext,Weekday;Total;OCCUPIED,30,288,25,False,True,3,70,False
1314,building1,ext,Weekday;Total;OCCUPIED,30,288,25,True,False,3,70,False
1315,building1,ext,Weekday;Total;OCCUPIED,30,288,25,True,True,3,70,False
1316,building1,ext,Weekday;Total;OCCUPIED,30,288,100,False,False,3,70,False
1317,building1,ext,Weekday;Total;OCCUPIED,30,288,100,False,True,3,70,False
1318,building1,ext,Weekday;Total;OCCUPIED,30,288,100,True,False,3,70,False
1319,building1,ext,Weekday;Total;OCCUPIED,30,288,100,True,True,3,70,False
1320,building1,ext,Weekday;Total;OCCUPIED,96,30,25,False,False,3,70,False
1321,building1,ext,Weekday;Total;OCCUPIED,96,30,25,False,True,3,70,False
1322,building1,ext,Weekday;Total;OCCUPIED,96,30,25,True,False,3,70,False
1323,building1,ext,Weekday;Total;OCCUPIED,96,30,25,True,True,3,70,False
1324,building1,ext,Weekday;Total;OCCUPIED,96,30,100,False,False,3,70,False
1325,building1,ext,Weekday;Total;OCCUPIED,96,30,100,False,True,3,70,False
1326,building1,ext,Weekday;Total;OCCUPIED,96,30,100,True,False,3,70,False
1327,building1,ext,Weekday;Total;OCCUPIED,96,30,100,True,True,3,70,False
1328,building1,ext,Weekday;Total;OCCUPIED,96,96,25,False,False,3,70,False
1329,building1,ext,Weekday;Total;OCCUPIED,96,96,25,False,True,3,70,False
1330,building1,ext,Weekday;Total;OCCUPIED,96,96,25,True,False,3,70,False
1331,building1,ext,Weekday;Total;OCCUPIED,96,96,25,True,True,3,70,False
1332,building1,ext,Weekday;Total;OCCUPIED,96,96,100,False,False,3,70,False
1333,building1,ext,Weekday;Total;OCCUPIED,96,96,100,False,True,3,70,False
1334,building1,ext,Weekday;Total;OCCUPIED,96,96,100,True,False,3,70,False
1335,building1,ext,Weekday;Total;OCCUPIED,96,96,100,True,True,3,70,False
1336,building1,ext,Weekday;Total;OCCUPIED,96,288,25,False,False,3,70,False
1337,building1,ext,Weekday;Total;OCCUPIED,96,288,25,False,True,3,70,False
1338,building1,ext,Weekday;Total;OCCUPIED,96,288,25,True,False,3,70,False
1339,building1,ext,Weekday;Total;OCCUPIED,96,288,25,True,True,3,70,False
1340,building1,ext,Weekday;Total;OCCUPIED,96,288,100,False,False,3,70,False
1341,building1,ext,Weekday;Total;OCCUPIED,96,288,100,False,True,3,70,False
