Date,GapStart,GapEnd,CompareStart,CompareEnd
2015-01-20,2015-01-20 00:00,2015-01-20 08:56,2015-01-20 10:00,2015-01-20 20:00
2015-01-22,2015-01-22 00:00,2015-01-22 14:28,2015-01-22 15:00,2015-01-22 23:00
