Id,Dataset,Algo,FeaturesLabels,TimeSteps,ForecastSteps,HiddenLayerNeurons,UseRegularization,UseDropout,Splits,Epochs,Done
3456,building1,ext,Weekday;Total;OCCUPIED,30,5,25,False,False,4,120,False
3457,building1,ext,Weekday;Total;OCCUPIED,30,5,25,False,True,4,120,False
3458,building1,ext,Weekday;Total;OCCUPIED,30,5,25,True,False,4,120,False
3459,building1,ext,Weekday;Total;OCCUPIED,30,5,25,True,True,4,120,False
3460,building1,ext,Weekday;Total;OCCUPIED,30,5,500,False,False,4,120,False
3461,building1,ext,Weekday;Total;OCCUPIED,30,5,500,False,True,4,120,False
3462,building1,ext,Weekday;Total;OCCUPIED,30,5,500,True,False,4,120,False
3463,building1,ext,Weekday;Total;OCCUPIED,30,5,500,True,True,4,120,False
3464,building1,ext,Weekday;Total;OCCUPIED,30,5,100;50;25,False,False,4,120,False
3465,building1,ext,Weekday;Total;OCCUPIED,30,5,100;50;25,False,True,4,120,False
3466,building1,ext,Weekday;Total;OCCUPIED,30,5,100;50;25,True,False,4,120,False
3467,building1,ext,Weekday;Total;OCCUPIED,30,5,100;50;25,True,True,4,120,False
3468,building1,ext,Weekday;Total;OCCUPIED,30,30,25,False,False,4,120,False
3469,building1,ext,Weekday;Total;OCCUPIED,30,30,25,False,True,4,120,False
3470,building1,ext,Weekday;Total;OCCUPIED,30,30,25,True,False,4,120,False
3471,building1,ext,Weekday;Total;OCCUPIED,30,30,25,True,True,4,120,False
3472,building1,ext,Weekday;Total;OCCUPIED,30,30,500,False,False,4,120,False
3473,building1,ext,Weekday;Total;OCCUPIED,30,30,500,False,True,4,120,False
3474,building1,ext,Weekday;Total;OCCUPIED,30,30,500,True,False,4,120,False
3475,building1,ext,Weekday;Total;OCCUPIED,30,30,500,True,True,4,120,False
3476,building1,ext,Weekday;Total;OCCUPIED,30,30,100;50;25,False,False,4,120,False
3477,building1,ext,Weekday;Total;OCCUPIED,30,30,100;50;25,False,True,4,120,False
3478,building1,ext,Weekday;Total;OCCUPIED,30,30,100;50;25,True,False,4,120,False
3479,building1,ext,Weekday;Total;OCCUPIED,30,30,100;50;25,True,True,4,120,False
3480,building1,ext,Weekday;Total;OCCUPIED,30,96,25,False,False,4,120,False
3481,building1,ext,Weekday;Total;OCCUPIED,30,96,25,False,True,4,120,False
3482,building1,ext,Weekday;Total;OCCUPIED,30,96,25,True,False,4,120,False
3483,building1,ext,Weekday;Total;OCCUPIED,30,96,25,True,True,4,120,False
3484,building1,ext,Weekday;Total;OCCUPIED,30,96,500,False,False,4,120,False
3485,building1,ext,Weekday;Total;OCCUPIED,30,96,500,False,True,4,120,False
3486,building1,ext,Weekday;Total;OCCUPIED,30,96,500,True,False,4,120,False
3487,building1,ext,Weekday;Total;OCCUPIED,30,96,500,True,True,4,120,False
3488,building1,ext,Weekday;Total;OCCUPIED,30,96,100;50;25,False,False,4,120,False
3489,building1,ext,Weekday;Total;OCCUPIED,30,96,100;50;25,False,True,4,120,False
3490,building1,ext,Weekday;Total;OCCUPIED,30,96,100;50;25,True,False,4,120,False
3491,building1,ext,Weekday;Total;OCCUPIED,30,96,100;50;25,True,True,4,120,False
3492,building1,ext,Weekday;Total;OCCUPIED,30,288,25,False,False,4,120,False
3493,building1,ext,Weekday;Total;OCCUPIED,30,288,25,False,True,4,120,False
3494,building1,ext,Weekday;Total;OCCUPIED,30,288,25,True,False,4,120,False
3495,building1,ext,Weekday;Total;OCCUPIED,30,288,25,True,True,4,120,False
3496,building1,ext,Weekday;Total;OCCUPIED,30,288,500,False,False,4,120,False
3497,building1,ext,Weekday;Total;OCCUPIED,30,288,500,False,True,4,120,False
3498,building1,ext,Weekday;Total;OCCUPIED,30,288,500,True,False,4,120,False
3499,building1,ext,Weekday;Total;OCCUPIED,30,288,500,True,True,4,120,False
3500,building1,ext,Weekday;Total;OCCUPIED,30,288,100;50;25,False,False,4,120,False
3501,building1,ext,Weekday;Total;OCCUPIED,30,288,100;50;25,False,True,4,120,False
3502,building1,ext,Weekday;Total;OCCUPIED,30,288,100;50;25,True,False,4,120,False
3503,building1,ext,Weekday;Total;OCCUPIED,30,288,100;50;25,True,True,4,120,False
3504,building1,ext,Weekday;Total;OCCUPIED,96,5,25,False,False,4,120,False
3505,building1,ext,Weekday;Total;OCCUPIED,96,5,25,False,True,4,120,False
3506,building1,ext,Weekday;Total;OCCUPIED,96,5,25,True,False,4,120,False
3507,building1,ext,Weekday;Total;OCCUPIED,96,5,25,True,True,4,120,False
3508,building1,ext,Weekday;Total;OCCUPIED,96,5,500,False,False,4,120,False
3509,building1,ext,Weekday;Total;OCCUPIED,96,5,500,False,True,4,120,False
3510,building1,ext,Weekday;Total;OCCUPIED,96,5,500,True,False,4,120,False
3511,building1,ext,Weekday;Total;OCCUPIED,96,5,500,True,True,4,120,False
3512,building1,ext,Weekday;Total;OCCUPIED,96,5,100;50;25,False,False,4,120,False
3513,building1,ext,Weekday;Total;OCCUPIED,96,5,100;50;25,False,True,4,120,False
3514,building1,ext,Weekday;Total;OCCUPIED,96,5,100;50;25,True,False,4,120,False
3515,building1,ext,Weekday;Total;OCCUPIED,96,5,100;50;25,True,True,4,120,False
3516,building1,ext,Weekday;Total;OCCUPIED,96,30,25,False,False,4,120,False
3517,building1,ext,Weekday;Total;OCCUPIED,96,30,25,False,True,4,120,False
3518,building1,ext,Weekday;Total;OCCUPIED,96,30,25,True,False,4,120,False
3519,building1,ext,Weekday;Total;OCCUPIED,96,30,25,True,True,4,120,False
3520,building1,ext,Weekday;Total;OCCUPIED,96,30,500,False,False,4,120,False
3521,building1,ext,Weekday;Total;OCCUPIED,96,30,500,False,True,4,120,False
3522,building1,ext,Weekday;Total;OCCUPIED,96,30,500,True,False,4,120,False
3523,building1,ext,Weekday;Total;OCCUPIED,96,30,500,True,True,4,120,False
3524,building1,ext,Weekday;Total;OCCUPIED,96,30,100;50;25,False,False,4,120,False
3525,building1,ext,Weekday;Total;OCCUPIED,96,30,100;50;25,False,True,4,120,False
3526,building1,ext,Weekday;Total;OCCUPIED,96,30,100;50;25,True,False,4,120,False
3527,building1,ext,Weekday;Total;OCCUPIED,96,30,100;50;25,True,True,4,120,False
3528,building1,ext,Weekday;Total;OCCUPIED,96,96,25,False,False,4,120,False
3529,building1,ext,Weekday;Total;OCCUPIED,96,96,25,False,True,4,120,False
3530,building1,ext,Weekday;Total;OCCUPIED,96,96,25,True,False,4,120,False
3531,building1,ext,Weekday;Total;OCCUPIED,96,96,25,True,True,4,120,False
3532,building1,ext,Weekday;Total;OCCUPIED,96,96,500,False,False,4,120,False
3533,building1,ext,Weekday;Total;OCCUPIED,96,96,500,False,True,4,120,False
3534,building1,ext,Weekday;Total;OCCUPIED,96,96,500,True,False,4,120,False
3535,building1,ext,Weekday;Total;OCCUPIED,96,96,500,True,True,4,120,False
3536,building1,ext,Weekday;Total;OCCUPIED,96,96,100;50;25,False,False,4,120,False
3537,building1,ext,Weekday;Total;OCCUPIED,96,96,100;50;25,False,True,4,120,False
3538,building1,ext,Weekday;Total;OCCUPIED,96,96,100;50;25,True,False,4,120,False
3539,building1,ext,Weekday;Total;OCCUPIED,96,96,100;50;25,True,True,4,120,False
3540,building1,ext,Weekday;Total;OCCUPIED,96,288,25,False,False,4,120,False
3541,building1,ext,Weekday;Total;OCCUPIED,96,288,25,False,True,4,120,False
3542,building1,ext,Weekday;Total;OCCUPIED,96,288,25,True,False,4,120,False
3543,building1,ext,Weekday;Total;OCCUPIED,96,288,25,True,True,4,120,False
3544,building1,ext,Weekday;Total;OCCUPIED,96,288,500,False,False,4,120,False
3545,building1,ext,Weekday;Total;OCCUPIED,96,288,500,False,True,4,120,False
3546,building1,ext,Weekday;Total;OCCUPIED,96,288,500,True,False,4,120,False
3547,building1,ext,Weekday;Total;OCCUPIED,96,288,500,True,True,4,120,False
3548,building1,ext,Weekday;Total;OCCUPIED,96,288,100;50;25,False,False,4,120,False
3549,building1,ext,Weekday;Total;OCCUPIED,96,288,100;50;25,False,True,4,120,False
3550,building1,ext,Weekday;Total;OCCUPIED,96,288,100;50;25,True,False,4,120,False
3551,building1,ext,Weekday;Total;OCCUPIED,96,288,100;50;25,True,True,4,120,False
3552,building1,ext,Weekday;Total;OCCUPIED,288,5,25,False,False,4,120,False
3553,building1,ext,Weekday;Total;OCCUPIED,288,5,25,False,True,4,120,False
3554,building1,ext,Weekday;Total;OCCUPIED,288,5,25,True,False,4,120,False
3555,building1,ext,Weekday;Total;OCCUPIED,288,5,25,True,True,4,120,False
3556,building1,ext,Weekday;Total;OCCUPIED,288,5,500,False,False,4,120,False
3557,building1,ext,Weekday;Total;OCCUPIED,288,5,500,False,True,4,120,False
3558,building1,ext,Weekday;Total;OCCUPIED,288,5,500,True,False,4,120,False
3559,building1,ext,Weekday;Total;OCCUPIED,288,5,500,True,True,4,120,False
3560,building1,ext,Weekday;Total;OCCUPIED,288,5,100;50;25,False,False,4,120,False
3561,building1,ext,Weekday;Total;OCCUPIED,288,5,100;50;25,False,True,4,120,False
3562,building1,ext,Weekday;Total;OCCUPIED,288,5,100;50;25,True,False,4,120,False
3563,building1,ext,Weekday;Total;OCCUPIED,288,5,100;50;25,True,True,4,120,False
3564,building1,ext,Weekday;Total;OCCUPIED,288,30,25,False,False,4,120,False
3565,building1,ext,Weekday;Total;OCCUPIED,288,30,25,False,True,4,120,False
3566,building1,ext,Weekday;Total;OCCUPIED,288,30,25,True,False,4,120,False
3567,building1,ext,Weekday;Total;OCCUPIED,288,30,25,True,True,4,120,False
3568,building1,ext,Weekday;Total;OCCUPIED,288,30,500,False,False,4,120,False
3569,building1,ext,Weekday;Total;OCCUPIED,288,30,500,False,True,4,120,False
3570,building1,ext,Weekday;Total;OCCUPIED,288,30,500,True,False,4,120,False
3571,building1,ext,Weekday;Total;OCCUPIED,288,30,500,True,True,4,120,False
3572,building1,ext,Weekday;Total;OCCUPIED,288,30,100;50;25,False,False,4,120,False
3573,building1,ext,Weekday;Total;OCCUPIED,288,30,100;50;25,False,True,4,120,False
3574,building1,ext,Weekday;Total;OCCUPIED,288,30,100;50;25,True,False,4,120,False
3575,building1,ext,Weekday;Total;OCCUPIED,288,30,100;50;25,True,True,4,120,False
3576,building1,ext,Weekday;Total;OCCUPIED,288,96,25,False,False,4,120,False
3577,building1,ext,Weekday;Total;OCCUPIED,288,96,25,False,True,4,120,False
3578,building1,ext,Weekday;Total;OCCUPIED,288,96,25,True,False,4,120,False
3579,building1,ext,Weekday;Total;OCCUPIED,288,96,25,True,True,4,120,False
3580,building1,ext,Weekday;Total;OCCUPIED,288,96,500,False,False,4,120,False
3581,building1,ext,Weekday;Total;OCCUPIED,288,96,500,False,True,4,120,False
3582,building1,ext,Weekday;Total;OCCUPIED,288,96,500,True,False,4,120,False
