Id,Dataset,Algo,FeaturesLabels,TimeSteps,ForecastSteps,HiddenLayerNeurons,UseRegularization,UseDropout,Splits,Epochs,Done
1152,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,5,25,False,False,4,120,False
1153,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,5,25,False,True,4,120,False
1154,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,5,25,True,False,4,120,False
1155,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,5,25,True,True,4,120,False
1156,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,5,500,False,False,4,120,False
1157,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,5,500,False,True,4,120,False
1158,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,5,500,True,False,4,120,False
1159,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,5,500,True,True,4,120,False
1160,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,5,100;50;25,False,False,4,120,False
1161,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,5,100;50;25,False,True,4,120,False
1162,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,5,100;50;25,True,False,4,120,False
1163,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,5,100;50;25,True,True,4,120,False
1164,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,25,False,False,4,120,False
1165,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,25,False,True,4,120,False
1166,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,25,True,False,4,120,False
1167,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,25,True,True,4,120,False
1168,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,500,False,False,4,120,False
1169,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,500,False,True,4,120,False
1170,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,500,True,False,4,120,False
1171,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,500,True,True,4,120,False
1172,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,100;50;25,False,False,4,120,False
1173,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,100;50;25,False,True,4,120,False
1174,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,100;50;25,True,False,4,120,False
1175,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,30,100;50;25,True,True,4,120,False
1176,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,25,False,False,4,120,False
1177,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,25,False,True,4,120,False
1178,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,25,True,False,4,120,False
1179,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,25,True,True,4,120,False
1180,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,500,False,False,4,120,False
1181,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,500,False,True,4,120,False
1182,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,500,True,False,4,120,False
1183,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,500,True,True,4,120,False
1184,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,100;50;25,False,False,4,120,False
1185,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,96,100;50;25,False,True,4,120,False
