Date,GapStart,GapEnd,CompareStart,CompareEnd
2015-01-22,2015-01-22 15:25,2015-01-22 23:59,2015-01-22 06:00,2015-01-22 15:00
2015-01-23,2015-01-23 00:00,2015-01-23 07:14,2015-01-23 07:30,2015-01-23 23:30
2015-01-27,2015-01-27 08:34,2015-01-27 19:31,2015-01-27 19:45,2015-01-27 23:45
